song_name,Level,Judgment,Elements,Memo,PY_BR,song_no
カナデトモスソラ,24,-,속도 변화_ 보면 정지,"롱노트가 중심인 보면. MASTER 보면과는 달리, 사비의 엇박 배치 1곳을 제외하고는 4분음표까지만 나오기 때문에 리듬은 매우 잡기 쉽다. 마지막의 홀드 배치(敷ホールド)는 오른쪽으로 치우친 금색 홀드를 오른 검지로, 왼쪽으로 치우친 금색 홀드를 왼 검지로 누르면 4개의 손가락으로 잘 처리할 수 있다.",4,149
いちにのさんで,24,-,장시간_ 스윙 리듬_ 극소 노트,"롱노트 주체의 보면이지만 스윙 리듬 배치가 많고, 홀드시키면서 한 손으로 스윙 리듬을 처리하게 하는 배치도 등장한다. 사비 전에는 중지로 홀드시키면서 검지로 탭하게 하는 구속 배치가 있다.",3,292
夜明けと蛍,25,최하위,속도 변화_ 슬라이드 난_ 트레이스 난_ 극소 노트,전반부는 트레이스가 많지만 조금 움직이는 정도로는 문제없다. 후반부부터는 4k 홀드 주체의 보면으로 변화한다. 중앙이 극소 노트인 3점 누르기에 주의가 필요하다.,5,311
ラグトレイン,25,하위,속도 변화_ 극소 노트,"롱노트 주체의 4k 보면. 계단이나 작은 노트 다점 누르기 등도 거의 없기 때문에, 처음 APPEND에 도전하는 보면으로 추천한다. 노트가 1개씩만 흐르더라도, 가장자리에 온 노트는 중지로 처리하는 것이 좋다. 속도 변화가 많아 당황할 수도 있지만, 한 번 누른 롱노트는 사라질 때까지 계속 누르고 있으면 문제없다.",3,469
glow,25,적정,장시간_ 슬라이드 난_ 극소 노트,"전체적으로는 느린 템포이지만, 사비 전의 롱노트 구속 + 32분 배치나 사비 이후의 교차 러시 등 바쁜 배치가 곳곳에 등장한다. 그 중에서도 아웃트로의 작은 노트 32분 → 오른쪽 동시 누르기가 콤보 커터가 된다.",2,339
ノマド,25,적정,스윙 리듬_ 속도 변화_ 보면 정지_ 슬라이드 난_ 극소 노트_ 계단,"전체적으로 느린 데다가 유도도 확실하기 때문에, APPEND의 교차 배치 입문에 추천한다. 이동량은 크기 때문에, 에임 의식을 강하게 갖는 것이 좋다. 처음의 3점 누르기나, 사비의 「이 밤을 차라리 먹어버려」의 potato가 되어가와 비슷한 배치에도 주의.",4,189
スイートマジック,25,상위,물량_ 계단,"마지막 사비 직전의 계단 → 되돌아오는 계단 → 계단이나 마지막의 4k 홀드 배치 등, 다지(多指) 실력이 필요한 지(손가락) 처리 배치가 주요 난이도 요소이다. B멜로디에는 교차 배치나 인접 동시 누르기 등 APPEND 보면에서 자주 출현하는 배치가 집중되어 있기 때문에, 저BPM인 이 보면에서 연습하는 것도 좋다.",-4,41
Tell Your World,25,상위,속도 변화_ 슬라이드 난_ 개인차,"★공략 정보 있음. 시작부터 4점 누르기 홀드가 연속해서 날아오지만, 종점이 트레이스 노트로 되어 있어 타이밍 좋게 손을 뗄 필요는 없다. 사비에서는 시점부터 크게 휘어지는 2개의 인접 롱노트가 등장하지만, 4점 누르기 홀드를 누를 때와 같은 위치에 4개의 손가락으로 전체 누르기(全押し)를 함으로써 트레이스하지 않고도 처리할 수 있다.",3,1
potatoになっていく,25,상위,스윙 리듬_ 시인 난_ 슬라이드 난_ 종점 판정,"★공략 정보 있음. EXPERT나 MASTER와는 달리 8분 단위의 음 취하기가 중심인 보면으로, 교차 배치가 빈번하게 출현한다. 사비 후반의 교차는 롱노트가 2개로 되어 있어, 최소한 3개의 손가락이 필요하다. 또한 인트로와 아웃트로의 배치도 유사하지만, 아웃트로에서는 1개의 롱노트와 동색의 인접 2개 롱노트가 혼재되어 있다. 따라서 2개로 눌러야 하는 곳을 외워두는 것이 좋다.",5,52
Happy Halloween,26,하위,스윙 리듬_ 종점 판정,"MASTER 보면에서 완전히 바뀌어 전체적으로 밀도가 절제되어 있어 콤보를 잇기는 쉽지만, 리듬의 난이도는 건재하다. 3점 이상의 동시 누르기가 적고, 롱노트 종점에 주의하면 2개의 손가락으로도 무리 없이 대부분을 처리할 수 있으므로 APPEND 보면 입문으로도 추천한다.",3,172
アイディスマイル,26,적정,변박자_ 슬라이드 난_ 극소 노트_ 종점 판정_ 개인차,"A멜로디 일부를 제외하고 16분이 없어, 운지법을 짜면 상당히 쉬워진다. 사람에 따라서는 2개 손가락으로 처리하는 편이 더 쉬운 배치도 있기 때문에, 손가락 개수를 잘 바꿔가며 처리하는 것이 좋다. 또한, 간주 종반부터 마지막 사비 전까지의 4k 홀드를 제외한 모든 롱노트에 종점 판정이 있다. 보면의 독자성이 강하기 때문인지 개인차가 큰 편이다.",6,116
いーあるふぁんくらぶ,26,적정,플릭 난_ 극소 노트_ 트릴_ 계단,"2연 계단이나 동시 누르기 트릴, 교차 배치 등 기초적인 다지(多指) 배치가 많이 등장한다. 인접 플릭이나 작은 노트가 빠지지 않도록 주의가 필요하다.",-3,174
妄想感傷代償連盟,26,적정,슬라이드 난_ 트릴,"A멜로디의 3타 배치나 1절 사비의 구분하여 눌러야 하는 봉오도리 배치, 간주의 계단이나 구속 트릴 등 다지 실력이 필요한 배치가 많이 등장한다. 템포가 느리고 교차 배치도 없기 때문에, 지(손가락) 처리를 연습하는 데 최적이다.",-4,194
アイムマイン,26,상위,장시간_ 시인 난_ 슬라이드 난_ 계단,"글자 형태의 롱노트가 많은 보면이라 당황하기 쉽지만, 외관상으로 복잡해 보이는 것에는 중간 판정이 없다. 글자와 함께 흘러오는 인접 동시 누르기가 보기 어렵지만, 직후에 탭이 내려오는 일은 없으므로 전체 누르기를 하면 편하다. 계단 배치도 많고, 중반에는 2번 되돌아오는 4k 계단 배치가 있다.",1,368
Color of Drops,26,상위,속도 변화_ 트릴_ 계단,"3점 탭이 많지만, 전후 간격이 넓어 4점 누르기로 처리해도 문제없다. 사비 후반에는 3연 한 손 트릴 배치나 왼쪽에서 흘러오는 4k 계단이 있어, 상당한 다지 기술이 요구된다.",-3,89
ヴァンパイア,27,하위,극소 노트_ 계단,"배치가 조금 복잡해져 있으며, 중지로 롱노트를 누르면서 검지로 탭노트를 처리하는 장면도 나온다. 다지(多指)에 익숙하지 않은 사람은 계단을 2개 손가락으로 처리하는 것도 한 가지 방법이다.",-2,213
39みゅーじっく！,27,하위,계단,"전체적으로 솔직한 보면이지만, 한 손을 구속하면서 동시 누르기 처리가 요구되며, 초반과 사비 전 두 곳에서 4K 계단이 연속으로 내려오므로 주의가 필요하다.",-4,45
グッバイ宣言,27,적정,슬라이드 난_ 계단,"곡 전체를 통틀어 교차 배치가 많지만, potato가 되어가와 비교해 롱노트가 가늘어 정확하게 트레이스하려는 의식도 필요하다. 다점 누르기는 적지만, 계단 배치가 많으므로 손가락 처리가 가능하면 좋다.",0,198
少女レイ,27,적정,장시간_ 속도 변화_ 보면 정지_ 슬라이드 난_ 개인차,"★공략 정보 있음. 곡 전체를 통해 교차 배치가 빈번하게 출현하기 때문에, 교차에 대한 내성 유무에 따라 체감 난이도가 크게 변화한다. A멜로디의 건널목을 본뜬 배치는 교차나 약지를 사용하지 않을 경우, 2개의 초록 롱노트 시점을 양 검지, 왼쪽의 금색 탭노트를 왼 중지로 처리하는 운지법을 고정해야 한다. 포스트 코러스에는 3연 인접 동시 누르기나 홀드 구속 배치 등, 교차 외의 실력이 필요한 배치도 등장한다.",5,169
Supernova,27,적정,스윙 리듬_ 슬라이드 난,"롱노트 구속이 많은 보면. 롱노트의 배치는 가능한 유도대로 처리하는 것이 좋지만, 노트 폭이 넓어 어느 정도 전체 누르기를 해도 문제없다. 전체적으로 금색 롱노트의 시인성이 나쁜 편이다.",4,457
トワイライトライト,27,적정,스윙 리듬_ 슬라이드 난,"롱노트가 중심인 보면으로 롱노트 구속이나 롱노트를 엮은 스위칭이 많다. 요구되는 기술 자체는 단순한 것이 많지만, 운지법이 알기 어려운 곳이 많아 초견에는 어렵게 느끼기 쉽다. 2개 손가락 배치로 대체 가능한 곳도 많으므로, 일단 자신만의 운지법을 정립하고 도전하는 것이 좋다.",5,384
ぼくのかみさま,27,적정,리듬 난_ 극소 노트_ 트릴,"EXPERT나 MASTER와 마찬가지로, 간주나 아웃트로의 뒷박 리듬에 익숙해질 필요가 있다. 특히 아웃트로는 뒷박 탭에서 3점 누르기와 트릴에서 3점 누르기가 번갈아 내려오지만, 같은 운지법의 반복으로 처리할 수 있으므로 리듬과 노트를 잡는 손을 외워두는 것이 좋다.",2,548
星を繋ぐ,27,적정,계단,"3점 누르기나 계단, 스위칭 등의 기술이 많이 요구되는 보면. MASTER 보면에도 비슷한 배치가 있는 사비 후반의 교차 배치는, 스위칭할 경우 2번째 금색 노트를 표식으로 삼는 것이 좋다.",-2,375
いかないで,27,상위,극소 노트,"BPM 191의 8분 음표 주체 보면으로, 16분 배치(고속 연타)는 나오지 않는다. 전체 누르기로도 통과 가능하여 휘말리는 일은 거의 없지만, 작은 동시 누르기가 빠지기 쉬우므로 주의가 필요하다.",-1,120
ワンスアポンアドリーム,28,최하위,시인 난_ 슬라이드 난_ 극소 노트,"★공략 정보 있음. 전체적으로 넓은 폭의 롱노트 위에 얇은 롱노트나 탭이 깔린 배치가 많아, 시인성이 나쁘고 노트가 빠지기 쉽다. 기본적으로 초록색 롱노트 부분은 트랩이며, 금색 부분만을 트레이스하면 통과된다. 또한 전반부는 노트의 대부분이 2칸 폭이라 에임을 맞추기 어렵다. 반면에 빠른 지(손가락) 처리나 물량 요소는 매우 적다. 마지막 종점 플릭은 동시 5점이지만, 사양상 4개의 손가락으로도 처리할 수 있다.",8,105
セカイ,28,하위,스윙 리듬_ 속도 변화_ 보면 정지,"기초적인 건반 실력이 요구되지만, 배치 자체는 Lv27 이하와 크게 다르지 않아 되돌아오는 계단이나 부산스러운 교차 배치는 없다. B멜로디의 홀드 건반은, 약간의 좌우 치우침과 슬라이드로 운지 실수를 유도하지만, 침착하게 파악하면 무리 없이 처리할 수 있을 것이다.",2,76
フラジール,28,하위,극소 노트_ 계단_ 미세 종연,"건반 배치가 주축인 보면. 국소적인 강력한 난이도는 없지만, 3k, 4k, 롱노트의 구속 배치 등 실력이 요구되는 배치가 많다. BPM이 느리기 때문에 2개 손가락으로도 처리할 수 있지만, 4개 손가락을 사용하여 처리할 수 있도록 연습하면 Lv29 이후의 건반 배치에도 대응할 수 있게 되므로, 이 보면에서 연습하는 것이 좋다.",-4,69
「１」,28,적정,변박자_ 리듬 난,"리듬이 어렵고, 16분이 얽힌 배치나 인접 플릭 등으로 콤보를 끊기 쉽다. 인트로의 3k 홀드나 아웃트로의 Sage나 도쿄 테디베어와 같은 한 손으로 누르고 있는 2개의 홀드 사이에 노트가 내려오는 배치 등, 다른 Lv28 이하에서는 볼 수 없는 배치도 많다.",6,132
KING,28,적정,속도 변화_ 보면 정지,"곡의 1절은 2개 손가락으로 처리할 수 있는 부분이 많고, 다지 배치도 기초적인 것들이지만, 2절에 들어가면 다점 누르기가 섞인 되돌아오는 계단 등 다지 배치가 늘어난다. 트레이스를 사용한 연속 유사 플릭 등 바쁜 부분도 있는 한편, 16분 배치는 적기 때문에 운지법을 고정할 수 있으면 FC에 가까워질 것이다.",1,138
心予報,28,적정,극소 노트_ 계단,"롱노트가 합류함에 따른 스위칭이 특징이다. 휘말리기 쉬운 배치는 적고, 다점 누르기나 스위칭, 도중의 작은 노트 연속 계단이나 되돌아오는 계단의 지(손가락) 처리를 외우는 것이 FC로 가는 지름길이다.",-3,188
シャルル,28,적정,계단_ 종점 판정_ 개인차,"전주 종반의 배치가 휘말리기 쉬워, 1점 누르기와 2점 누르기의 빠른 전환이 요구된다. 계단 자체는 그렇게 빠르지 않지만, 한 손 동시 누르기로 이어지는 배치가 많으므로 다지(多指)로 처리할 수 있도록 하자.",-1,19
Hand in Hand,28,적정,국소 난_ 슬라이드 난_ 계단_ 개인차,"사비의 다중 롱노트가 특징적인 보면. 2개 손가락으로 칠 수 있는 배치도 많아 기본적으로는 쉬운 편이지만, 마지막의 32분 계단을 처리할 수 있는지 여부에 따라 체감 난이도가 상하하기 때문에, 국소 난의 경향이 강하다.",-4,44
ありのままのストーリーを,28,상위,슬라이드 난,"롱노트 주체의 보면으로, 구속 배치가 많다. 사비의 롱노트 배치는 교차하지 않으면 극단적으로 처리하기 어려워지기 때문에, 교차 연습에 좋을 수 있다. 16분은 적지만 돌연 나오므로 주의가 필요하다.",4,635
ダブルラリアット,28,상위,슬라이드 난_ 6k,"교차 배치 및 5k・6k 홀드가 빈번하게 출현한다. 마지막의 5k 홀드는 특수한 배치로, 약지 사용이 강제된다. 16분 한 손 트릴 3타 배치에도 주의가 필요하다.",-5,256
Beat Eater,28,상위,스윙 리듬_ 국소 난_ 슬라이드 난_ 플릭 난_ 계단_ 종연,"전반부에는 인접 동시 누르기, 사비에는 교차 배치가 빈번하게 출현한다. 사비 종반의 좌우 플릭 + 인접 동시 누르기 종연 7타가 난이도 요소로, 동시 누르기와 플릭을 분업하여 교차하거나, 오른쪽 플릭을 약지로 처리하는 등 다양한 운지법이 예상된다.",-2,156
仮死化,28,최상위,시인 난_ 슬라이드 난_ 트릴_ 개인차,롱노트의 교차가 중심인 보면. A멜로디 후반의 약간 복잡한 4k 홀드 배치는 홀드 시점을 잘 보고 처리하는 것이 좋다. 사비 전의 3점 누르기와 단독 누르기의 구분 처리 배치에도 주의가 필요하다.,3,267
ロキ,28,최상위,속도 변화_ 트릴_ 극소 노트,"초반의 한 손 트릴이나 사비 후반의 24분, 아웃트로의 작은 노트 트릴 등 트릴에 관한 난이도가 많다. 편법이 잘 통하지 않아, Lv28 중에서는 높은 실력이 요구된다. 사비 끝의 가속하는 트레이스 플릭은 그냥 긁으면 돌파할 수 있다.",-6,2
みくみくにしてあげる♪【してやんよ】,29,최하위,시인 난,"교차 구간의 운지법에 따라 보면의 대부분을 2개 손가락으로 처리할 수 있다. 사비는 3~4점 누르기가 늘어나 시인성이 나빠지지만, 노트나 중간 판정이 빡빡하지 않고 종점도 없기 때문에 전체 누르기를 해도 휘말리는 일은 없다.",7,124
ECHO,29,하위,속도 변화_ 슬라이드 난_ 6k,"★공략 정보 있음. 사비의 5k 홀드나 인트로/아웃트로의 6k 홀드와 같이 약지를 사용하게 하는 롱노트 배치가 특징적인 보면. 아웃트로의 홀드 구간은 안쪽의 8분 간격 홀드를 잡는 손가락을 검지로 전환하는 것과, 전반 4마디는 바깥쪽 홀드 시점을 양 중지, 후반 4마디는 바깥쪽 홀드 시점을 양 약지로 잡는 것을 의식하면, 전반 4마디는 4k, 후반 4마디는 5k → 6k의 요령으로 자연스럽게 처리할 수 있다.",-3,100
群青讃歌,29,하위,스윙 리듬_ 속도 변화_ 슬라이드 난,"★공략 정보 있음. 롱노트 주체의 보면. 사비의 음 취하기가 MASTER와 달리 스윙 리듬 주체이며, 교차도 빈번하게 등장하기 때문에 사람에 따라서는 익숙해질 필요가 있다. 사비 전과 종반에 등장하는 3개의 롱노트에 있는 타이밍이 다른 종점 플릭은 트레이스 플릭의 요령으로 긁어도 문제없이 처리할 수 있다.",4,141
Beyond the way,29,하위,속도 변화_ 슬라이드 난_ 플릭 난_ 트릴,"롱노트나 트레이스 노트로 손가락을 크게 움직이게 하는 배치가 많다. 특히 롱노트는 각진 특징적인 배치가 여러 번에 걸쳐 등장한다. 전체 누르기로 속일 수 있는 곳도 많지만, 그 때문에 구분 처리가 필요한 곳에서 발목을 잡히기 쉽다. 갑자기 등장하는 32분 지(손가락) 처리 배치에도 주의해야 한다.",-1,398
Awake Now,29,적정,스윙 리듬_ 슬라이드 난,트레이스 플릭 등의 홀드 배치(敷配置)가 특징적인 스윙 리듬 보면. 1절 사비 후의 홀드 배치는 금색 롱노트만을 누르고 있어도 처리할 수 있다.,4,244
イフ,29,적정,리듬 난_ 계단_ 트릴_ 극소 노트,"전체를 통틀어 3k, 4k 등의 실력이 요구되는 지(손가락) 처리 배치가 많은 보면. A멜로디의 작은 노트 되돌아오는 4k, 사비의 양손 트릴 등이 주요 난이도 요소이다. 작은 노트 24분에도 주의가 필요하다. MASTER와 달리 드럼의 음 취하기가 주축이 되어 있으므로, 곡을 잘 들으면서 플레이하는 것이 좋다.",-2,211
威風堂々,29,적정,속도 변화_ 보면 정지_ 슬라이드 난_ 플릭 난_ 종점 판정,"MASTER와 비슷한 보면 경향에, APPEND 특유의 배치나 트레이스가 포함된 보면. 2개 손가락으로 대처 가능한 배치도 많지만, 4개 손가락을 준비하고 중지를 사용하면서 누르는 편이 더 쉽게 처리할 수 있다. 롱노트와 (트레이스) 플릭이 바뀌는 배치는 완급 조절이 있는 움직임을 유념하는 것이 좋다.",4,95
シネマ,29,적정,계단_ 종점 판정,"동시 누르기와 계단이 섞인 배치가 다수 내려오기 때문에, BPM이 낮은 것도 더해져 콤보가 끊기기 쉽다. 특히 아웃트로는 롱노트와 계단이 합쳐져 복잡한 배치가 되어 있으므로, 필요하다면 보면 연구를 하여 미리 이해해 두는 것이 좋다.",-1,126
箱庭のコラル,29,적정,국소 난_ 슬라이드 난_ 계단,"전반부는 비교적 쉽지만, 롱노트에 의한 구속 배치가 많다. 마지막 사비부터 복잡한 건반 배치가 많아진다. 빠르지는 않으므로 억지로 누르는 것(고리 오시)도 불가능하지는 않지만 상당히 어려워진다. 마지막 롱노트는 얇으므로 빠지지 않도록 주의가 필요하다.",-3,324
ハッピーシンセサイザ,29,적정,속도 변화_ 계단,"버릇이 있는 배치가 적은 만큼, 순수한 실력이 요구되는 보면. 간주까지는 솔직한 배치가 많지만, 간주 이후는 교차나 인식 난_인접 2점 누르기 등 까다로운 배치가 다수 등장하므로, 휘말림이나 에임 오류를 일으키지 않도록 주의가 필요하다.",0,10
MOTTO!!!,29,적정,스윙 리듬_ 국소 난_ 트레이스 난_ 6k,"MASTER와 보면 경향이 유사하며, 롱노트와 교차 배치가 중심인 보면. 사비 전의 Sage와 같은 6k 홀드가 섞인 배치에 주의가 필요하다. 지(손가락) 처리 배치는 적은 편이다.",-3,405
酔いどれ知らず,29,적정,스윙 리듬_ 속도 변화_ 국소 난_ 플릭 난,"인접 동시 누르기 주체의 스윙 리듬 보면. 교차 배치도 많으므로, 교차가 발생하는 장소를 암기해 두는 것이 좋다. 마지막 사비의 플릭 + 인접 동시 누르기 탭 배치는 손가락을 구분하여 처리하지 않으면 휘말림이 발생하기 쉽다.",3,441
ワールドワイドワンダー,29,적정,슬라이드 난_ 계단,"인트로와 아웃트로의 4k 배치가 난이도 요소로, 지(손가락) 처리 실력이 요구된다. A멜로디의 롱노트가 겹쳐진 배치는 합류하는 방향으로 손가락을 모으면 빠지기 어려워진다.",-2,193
インテグラル,Lv29,상위,계단_ 6k,"★공략 정보 있음. MASTER 보면의 경향과 비슷하지만, 5k/6k 홀드 등이 많고, 동시치기가 더욱 증가하여 바쁜 정도가 늘었다. B멜로디의 12분 배치나 후반의 양손 16분 트릴 3타 등 그 속도와 맞물려 Lv29 이하에서는 보기 힘든 배치도 많다.",-7,424
Sympathy,Lv29,상위,계단_ 좌우 떨기_ 5k,"총 3회 등장하는 연속 4k 계단이 특징적이며, 시작의 16분 2타로 인해 운지법이 보기 어렵고, 연속된 계단이 조금씩 이동하므로 상당한 에임(조준) 능력이 요구된다. 그 외에도 롱노트나 인접 플릭이 섞여 말리거나 놓치기 쉬운 배치가 많아, 전체적으로 긴장을 놓을 수 없다. 인트로와 후렴 전에는 한 손 3k 배치도 등장한다.",2,605
トキヲ・ファンカ,Lv29,상위,속도 변화_ 물량_ 플릭 난이도_ 리듬 난이도_ 극소 노트_ 개인차,"중반의 극소 노트 지대나 라스트의 손뼉 소리에 맞춘 금색 노트 등, MASTER 보면을 순조롭게 강화한 보면이다. BPM이 낮은 대신 16분 배치가 많아 지압(손가락 누르기) 기술이 요구된다. 기본적으로 금색 노트와 일반 노트로 손을 분담하는 것이 쉬우나, 중반의 32분 3타는 한 손 트릴에 익숙하지 않다면 양손으로 처리할 수도 있다.",3,150
YY,Lv29,상위,리듬 난이도_ 극소 노트_ 계단_ 종련_ 미세 종련_ 5k,"극소 탭 노트가 중심이며, 종련/미세 종련이나 Y자 모양의 탭 배치 등 힘으로 밀어붙이는(고리 오시) 경향이 강하다. 지압과 힘으로 밀어붙이는 것을 적절히 전환해야 하는 곳이 많아, 사람에 따라서는 상당한 보면 연구가 필요하다.",-5,266
DAYBREAK FRONTLINE,Lv29,최상위,슬라이드 난이도_ 트릴,"★공략 정보 있음. BPM은 낮지만 정확한 지압(손가락 누르기)이 요구된다. 후렴에 자주 나타나는 교차 배치는 미리 손을 바꾸어 잡을지 교차할지를 결정해 두는 것이 좋다. 한 손 트릴에 거부감이 있다면, 트릴을 동시치기와 단일 노트로 손을 분담 처리하는 것도 가능하다.",-4,253
テトリス,Lv29,최상위,속도 변화_ 보면 정지_ 플릭 난이도_ 극소 노트_ 트릴,"A멜로디의 극소 노트 한 손 트릴 3타 러시나 B멜로디의 중앙 동시치기와 좌우로 몰린 플릭 배치가 큰 난관이다. A멜로디는 보이는 대로 처리할지 한 손 3타를 피하는 운지법을 짤지, B멜로디는 동시치기를 잡는 손을 바꿀지 한 손을 중앙에 고정하고 교차할지 등, 각자 편한 운지법을 모색하는 것이 좋다.",7,627
ワーワーワールド,Lv29,최상위,계단_ 트릴_ 극소 노트_ 6k,"★공략 정보 있음. 많은 기술이 요구되는 전체적으로 어려운 보면이다. A멜로디에는 손을 바꿔 잡는 것을 상정한 롱노트가 있으며, 아래에 깔린 2점 탭을 처리한 손으로 바꿔 잡으면 원활하게 처리할 수 있다. 후렴부터는 고도의 지압(손가락 누르기)이 등장하며, 다른 보면들로 지압 능력을 단련한 후 도전하는 것이 좋다. 초반의 6k 홀드나, 2회 등장하는 32분도 요주의.",-6,77
Flyer!,Lv30,최하위,슬라이드 난이도_ 트릴,"5개 롱노트 → 종점 플릭 배치가 초반과 종반에 총 2회 등장한다. A멜로디 후반에 일부 5k 홀드 배치가 등장하지만, 운지법을 잘 조정하면 4개 이하의 손가락으로도 처리할 수 있다.",0,182
泡沫未来,Lv30,하위,하네리듬_ 슬라이드 난이도_ 트릴_ 6k_ 개인차,"★공략 정보 있음. 교차 배치가 보면 곳곳에 있지만, 롱노트의 폭이 넓어 다시 누르기 쉽다. 교차하지 않을 경우 탭을 어떤 손가락으로 잡을지에 의식하고, 남은 손가락으로 모두 누르면 편해진다. B멜로디의 6k 배치는, 시작의 중앙 탭 + 홀드 시작점을 홀드 측과 반대 손으로 동시에 누르면 약지를 사용하지 않고 4개로 처리하는 것도 가능하다. 라스트의 트릴은 유도대로 역수로 들어가면 교대로 칠 수 있지만, 직전 롱노트에서 손을 바꿔 순수로 들어갈 경우 1곳이 비대칭(비교대)이 된다.",4,151
ロウワー,Lv30,하위,하네리듬_ 속도 변화_ 보면 정지_ 슬라이드 난이도_ 6k,★공략 정보 있음. 교차 중심의 하네리듬 보면. B멜로디와 후렴 후반에 6k 배치가 등장한다. AP를 노릴 때는 아우트로의 플릭 방향에 주의가 필요하다.,6,187
青く駆けろ！,Lv30,적정,트릴_ 계단_ 5k,"★공략 정보 있음. 스텔라와 비슷한 경향의 보면으로, 2점 동시치기 트릴이나 한 손 트릴이 등장한다. 한 손 트릴은 오른쪽만 나오므로 미러 옵션으로 왼손으로 돌릴 수도 있으며, 도저히 한 손 트릴을 따라가지 못할 경우 약지로 홀드하면 트릴을 양손으로 처리하는 것도 가능하니 시도해 보는 것이 좋다.",-5,93
虚ろを扇ぐ,Lv30,적정,장시간_ 속도 변화_ 보면 정지_ 슬라이드 난이도_ 계단_ 5k,"후렴 전에 한 손으로 32분 3타를 처리해야 하는 배치나 32분 계단이 있으며, 1절 후렴 후에는 한 손 홀드+3k 계단 배치, 라스트 후렴에는 3점 홀드 종점 플릭+2점 탭의 5점 동시치기가 등장한다. 연주 시간도 매우 길다.",-2,280
エンパープル,Lv30,적정,리듬 난이도_ 극소 노트_ 트릴_ 계단,"곡 전체를 통틀어 말리기 쉬운 배치가 많다. 개막의 24분 계단 4연이나 초반에 몇 번 있는 32분 계단이 난관이지만, 대부분이 금색 노트이므로 FC를 노린다면 뭉개기(안미츠)도 가능하다. 1절 후렴 후의 홀드 지대는 홀드의 시작점에 주목하고, 홀드를 다시 눌러야 하는 포인트를 의식하는 것이 좋다.",-3,507
レグルス,Lv30,적정,속도 변화_ 슬라이드 난이도_ 플릭 난이도_ 리듬 난이도_ 트릴_ 계단_ 5k,"한 손 구속 배치가 많은 기교 보면. 곡 자체의 리듬이 어려워, 특히 붓점 리듬이 많기 때문에 곡을 들어서 외울 필요가 있다. AP를 노릴 경우 라스트 후렴 직전의 12분→16분→24분의 가속 트릴이 큰 난관이 된다.",5,423
Flyway,Lv30,상위,하네리듬_ 속도 변화_ 슬라이드 난이도_ 극소 노트_ 계단_ 종련_ 종점 판정,"건반 배치 주체의 하네리듬 보면. 간주 후의 롱노트 배치는 녹색 롱노트를 오른손, 금색 롱노트를 왼손으로 잡으면 유도대로 처리할 수 있지만, 양쪽 약지를 사용할 수 있다면 교차 횟수를 줄이는 것도 가능하다. 라스트 후렴 끝의 배치가 난관이지만, 양손 트릴로 간주하든 동시치기 트릴로 간주하든 처리가 가능하므로 편한 쪽을 선택하는 것이 좋다.",6,310
モア！ジャンプ！モア！,Lv30,상위,속도 변화_ 물량_ 플릭 난이도_ 트릴_ 계단_ 종점 판정,배치는 단순하지만 템포가 빨라 실수가 발생하기 쉽다. 1점 누르기와 2점 누르기의 구분 처리가 요구되는 배치나 4키 배치 전후 등에서는 실수가 발생하기 쉬움이 더욱 가속화된다.,-4,99
