song_name,Level,Judgment,Elements,Memo,PY_BR,song_no
世界を照らすテトラッド,Lv30,최상위,트릴_ 계단_ 5k,"기본적인 4k 배치에 더해 중앙 동시치기나 계단 배치가 많아, 지압 체력(실력)과 구분 처리 기술이 모두 요구된다. 휴식 지대가 적고 전체적으로 바쁘며, 곡조가 조용한 부분도 5k 홀드나 한 손 트릴이 쏟아져 긴장을 늦출 수 없다.",-8,411
とても痛い痛がりたい,Lv30,최상위,트릴_ 계단_ 종련,"곡 전체를 통틀어 홀드 구속 트릴, 꺾이는 3k+동시치기 배치, 한 손 트릴이나 양손 트릴 등의 16분 지압 배치가 연속된다. 초반과 종반의 '가슴 이 근처가 너무 아파'의 종련(수직 연타)도 주의가 필요하다. 중반의 다중 롱노트에 겹쳐지는 플릭은 모두 종점 플릭이므로, 문지르는 것만으로도 처리할 수 있다.",-8,94
ペンタトニック,Lv31,최하위,하네리듬_ 속도 변화_ 슬라이드 난이도_ 플릭 난이도_ 트레이스 난이도_ 계단_ 6k,"전체적으로 교차, 구속 배치 등 롱노트의 배치가 특징적인 보면. 동시치기가 붙은 계단이나 후렴 전의 24분 계단 등 건반 실력이 요구되는 난관도 있다. 종반의 5k 배치는 어느 손으로 약지를 사용할지 미리 정해두면 처리하기 쉽다. 마지막 배치는 6k도 되므로 주의가 필요하다.",5,585
一千光年,Lv31,하위,슬라이드 난이도_ 5k,"★공략 정보 있음. 미쿠의 코러스에 맞춘 롱노트가 곡 전체를 통틀어 끊임없이 중앙에 계속 흐르는 보면. A멜로디 이후 중앙 홀드의 좌우에 교대로 노트가 떨어지는 배치는 주기적으로 떨어지는 금색 노트+유도선에 맞춰 롱노트를 바꿔 잡음으로써 원활하게 처리할 수 있다. 후렴 이후는 홀드를 가로질러 동시치기나 붓점 리듬이 출현하므로, 홀드하는 손과 같은 손의 다른 손가락으로 탭 할 필요가 있다.",7,439
てらてら,Lv31,하위,플릭 난이도_ 극소 노트_ 트릴,"플릭이 동시치기와 엮이면서 실수를 유발하기 쉬우며, 주로 3점 누르기와 2점 누르기의 교체가 많아 말리기 쉽다. 극소 노트로 구성된 동시치기는 노트가 없는 부분을 눌러서 발생하는 실수를 방지하기 위해, 그 동시치기 하는 노트의 수대로 누르는 것이 좋다. 물량은 많지 않지만, 1절 후렴 후의 16분 양손 트릴에 주의가 필요하다.",-1,257
バグ,Lv31,하위,속도 변화_ 시인성 난이도_ 슬라이드 난이도,"교차 배치가 중심인 보면. 특히 후렴의 교차 배치는 시작하는 손을 알기 어려우므로, 헷갈린다면 미리 외워두는 것이 좋다. 라스트 후렴에 이르면 롱노트의 노이즈나 트레이스+탭의 배치로 시인성이 나빠지지만, 1절 후렴의 배치가 유도가 되므로 같은 운지법으로 처리하면 문제없다.",8,248
Bad Apple!! feat.SEKAI,Lv31,하위,속도 변화_ 리듬 난이도_ 극소 노트_ 트릴_ 계단,"피아노 음계를 중심으로 한 보면으로, 77/3분 트릴이나 28분 트릴, 20분 계단 등 리듬을 잡기 어려운 배치가 특징적이다. 기본적으로 눈으로 보고 칠 수 있지만, 어려워하는 경우는 곡을 잘 들어야 한다.",9,501
ジェヘナ,Lv31,적정,장시간_ 하네리듬_ 물량_ 슬라이드 난이도_ 극소 노트_ 트릴_ 계단_ 종점 판정,"하네리듬 보면. 4개 손가락으로 정직하게 치면 처리할 수 있는 배치가 많은 반면, 간주의 극소 노트 트릴이나 라스트 후렴 후반의 동시치기 러시 등 명확한 난관도 확실히 존재한다. 인트로와 아우트로의 트레이스 노트 지대는 2개 손가락으로도 돌파가 가능하다.",-2,272
ショウタイム・ルーラー,Lv31,적정,속도 변화_ 보면 정지_ 트릴_ 계단,"후렴의 계단 배치가 특징적이며, 전반은 4k→꺾이는 계단, 후반은 연속 24분 3k가 쏟아진다. 후렴 끝의 트릴은 그대로 4k로 잡으면 왼손 3연타가 필요하므로, 따라가지 못할 경우 출장 운지법을 짜는 것도 하나의 방법이다.",1,160
ステラ,Lv31,적정,슬라이드 난이도_ 트릴_ 종점 판정,"★공략 정보 있음. 전체적으로 정직한 보면이지만, 한 손으로 2개 이상의 노트를 처리하도록 요구하는 배치가 많다. 또한 롱노트 종점 유무가 구별하기 어려운 부분이 존재하므로, 구별이 안 될 경우 모두 떼는 것이 좋다. 아우트로에서 2회 쏟아지는 양손 트릴이 최난관이다.",-6,64
熱風,Lv31,적정,속도 변화_ 슬라이드 난이도_ 트릴_ 계단,"후렴의 이동 3k가 특징적인 보면. 특히 2회차는 롱노트 구속이 더해지므로, 노트를 잡을 손을 미리 결정해 둘 필요가 있다. 인트로와 후렴 전의 감속 소프란(속도 변화)이나, 후렴의 6분과 8분의 혼합 프레이즈, 라스트의 롱노트 구속 트릴에도 주의가 필요하다.",4,489
オペラ！スペースオペラ！,Lv31,상위,물량_ 슬라이드 난이도_ 리듬 난이도_ 트릴_ 계단_ 6k,"곡 중간에 많이 등장하는 12분이 GOOD 이하를 유발하지만, 곡을 외움으로써 상당히 대처하기 쉬워진다. 롱노트 계단 지대는 약지를 사용하면 직관적으로 처리할 수 있으며, 4개 손가락으로도 약간의 출장 운지법을 사용하면 닿으므로 다양한 운지법을 시도해 보는 것이 좋다. BPM은 높은 편이지만 한 손 트릴은 타수가 적고, 8분 박자도 밀리지 않으면 올콤보가 가능하다.",-3,450
テレキャスタービーボーイ,Lv31,상위,물량_ 플릭 난이도_ 트릴_ 난타_ 종점 판정,"4k 배치가 중심이지만, 고정 건반으로 치면 한 손 3연타나 탭 직후의 플릭으로 인해 MISS가 나기 쉽다. 고정 건반 운지법을 무너뜨려 A멜로디나 라스트 후렴 초반 등의 3점 누르기를 한 손으로 처리하는 등, 운지법의 조정이 공략으로 이어질 것이다. 연주 시간은 짧지만, 라스트 후렴에는 구분 처리 플릭 배치나 8분 간격의 교차, 양손 트릴 등 난이도 높은 배치가 많이 등장한다.",-5,134
フェレス,Lv31,최상위,하네리듬_ 계단_ 5k_ 종점 판정,"★공략 정보 있음. 하네리듬 보면. 초반은 그다지 어렵지 않지만, 중반 이후에 등장하는 인접 동시치기 12분이나 2개의 홀드를 가로지르는 탭+트레이스가 큰 콤보 커터가 된다. 사람에 따라서는 Lv32 이상의 보면만큼 고전할 수 있다.",5,291
生きる,Lv32,최하위,속도 변화_ 슬라이드 난이도_ 6k,"BPM이 APPEND에서만 2배가 되었다. 기본적으로 4분 음표로 구성되어 물량은 많지 않지만, 6k 홀드가 매우 복잡한 배치를 하고 있으며 폭이 좁아 누르기 어렵다. 전례 없는 보면 경향 때문에, 프로세카 이외의 리듬 게임 경험 및 기기 화면 크기에 따라 개인차가 다소 있다. 일부 기기에서는 6점 누르기가 반응하여 올눌림(BPM 2배로 인해 어렵긴 하지만)이 가능해지며 노트 크기도 커져 누르기 쉬울 것이다.",7,644
ERINNNNNN!!,Lv32,최하위,물량_ 슬라이드 난이도_ 플릭 난이도_ 트릴_ 계단,"인접 동시치기가 많지만, 단일 노트를 2개 손가락으로 잡더라도 기본적으로 말리지 않으므로 구분 처리를 크게 의식할 필요는 없다. 라스트의 홀드 계단은 종점이 없으므로, 시작점만 탭 하면 된다.",-6,
RAD DOGS,Lv32,최하위,속도 변화_ 물량_ 슬라이드 난이도_ 계단_ 5k,"16분이나 24분의 건반 배치가 전체적으로 흩뿌려져 있으며, 동시치기로 구성된 트릴 등 실수를 유발하기 쉬운 배치도 많다. 하지만 BPM이 140으로 이 난이도대에서는 느린 편이고, 동시치기가 엮인 계단 배치가 적어 힘으로 밀어붙이기(고리 오시)가 쉬워져 있으며, 5k 배치도 16분까지만 있어 요소로서는 옅다. 중반의 겹치는 롱노트는 트레이스 부분에서 떼면 놓치므로 주의가 필요하다.",-3,101
Journey,Lv32,하위,장시간_ 물량_ 트릴_ 계단,,-7,235
スーサイドパレヱド,Lv32,하위,속도 변화_ 보면 정지_ 트릴_ 계단_ 미세 종련_ 쿠노지_ 5k,"휴식이 거의 없는 4k 주체의 보면. 간주의 미세 종련 러시 → 양손 3타 트릴이나 좌우 교대로 한 손 트릴 → 쿠노지, 각 후렴의 구분 처리가 필수인 동시치기와 단일 노트의 교대 배치가 큰 난관이다. 라스트 후렴의 동시치기 봉오도리 배치는 전체 누르기로도 통과할 수 있다.",-3,606
アクセラレイト,Lv32,적정,속도 변화_ 보면 정지_ 트릴_ 계단_ 5k,"기본적으로 4k 주체의 보면으로, 인트로와 아우트로의 동시치기가 섞인 배치는 연속적으로 떨어지는 데다 리듬이 다소 잡기 어렵다. A멜로디의 한 손 트릴은 뭉갤 수도 있다. B멜로디의 5k 배치와 32분 계단, 및 라스트의 24분 트릴도 요주의.",2,583
88☆彡,Lv32,적정,속도 변화_ 물량_ 국소 난이도_ 극소 노트_ 트릴_ 계단_ 6k,간주 피아노 지대 8마디의 극소 노트 계단이 최난관이다. 후렴 전반은 MASTER 보면과 달리 붓점 리듬으로 채보되어 있어 리듬을 놓치기 쉬우므로 주의가 필요하다. 드롭 후렴이나 아우트로에는 한 손 3k 홀드 배치도 보인다.,4,224
地球最後の告白を,Lv32,상위,속도 변화_ 물량_ 트릴_ 종점 판정,"음계는 MASTER 보면과 비슷하지만, 그에 걸맞게 정통적으로 강화된 배치가 계속해서 내려온다. 인식난 대신에 한 손 트릴이나 양손 트릴, 2점 트릴에 12분 동시치기 등, 다지(여러 손가락) 기술이 충분히 요구된다.",-7,154
とうほう☆ワンダーランド,Lv32,상위,속도 변화_ 보면 정지_ 물량_ 트릴_ 계단_ 5k,"BPM 200의 고속 보면으로, 초반의 트릴 41타, 인트로/아우트로의 BoF 배치, A멜로디 끝이나 후렴의 꺾이는 계단, B멜로디의 8분 탭과 홀드 트릴의 혼합 프레이즈, 아우트로의 계단→동시치기 트릴의 교대 배치 등 다양한 타입의 난관이 담겨 있다. 후렴의 한 손 3k 홀드는 오른쪽 약지를 사용하면 깔끔하게 처리할 수 있다.",-8,623
NEO,Lv32,상위,속도 변화_ 물량_ 국소 난이도_ 극소 노트_ 계단_ 종점 판정,"전반은 비교적 쉽지만, 1절 후렴 종반부터 난이도가 상승한다. 라스트 후렴의 계단 → 비대칭 난타 이후의 한 손 3타 러시나 그 후의 극소 노트 계단 지대가 큰 콤보 커터가 된다. 간주의 24분 3k는 16분 뭉개기(안미츠)로도 통과할 수 있다.",-4,366
snooze,Lv33,최하위,속도 변화_ 보면 정지_ 물량_ 플릭 난이도_ 리듬 난이도_ 극소 노트_ 트릴_ 계단_ 미세 종련_ 5k,"플릭과 탭이 섞인 혼합 프레이즈 배치나 몇 번 나오는 32분 또는 일부 64분의 고속 계단, 라스트의 연속 트레이스 플릭+한 손 트릴이 특징이다. 초반에 2회 나오는 16분 연타가 포인트인데, 1회차는 오른손 시작의 동시치기 트릴로 바로 그 직후의 32분 계단까지 뭉개기(안미츠)로 통과할 수 있다. 2회차는 손가락을 포개어 1회차와 동일하게 동시치기 트릴 또는 그대로 양손 트릴이 주된 운지법이며, 자신에게 맞는 운지법을 확립해 두는 것이 좋다.",-4,554
ONESELF,Lv33,최하위,속도 변화_ 시인성 난이도_ 슬라이드 난이도_ 플릭 난이도_ 트릴_ 계단_ 쿠노지,"MASTER 보면에서 크게 바뀐 음계가 특징이다. 초반은 24분 계단이나 동시치기가 붙은 트릴이 어느 정도 있어 비교적 쉬운 편이지만, 중반 이후부터는 상당히 바빠진다. 후렴의 5k 배치는 중앙 홀드를 잡는 손을 바꿔가며 옆의 탭과 함께 잡으면 4k로 처리할 수도 있다. AP를 노릴 때는 EDM 지대 라스트 2마디의 방향 지정 트레이스 플릭 러시가 고비가 된다.",5,227
混沌ブギ,Lv33,하위,속도 변화_ 물량_ 슬라이드 난이도_ 플릭 난이도_ 극소 노트_ 트릴_ 난타_ 계단,"움직임이 큰 트레이스 노트와 롱노트가 특징적인 보면. 기본적으로 4개 손가락으로 모두 처리할 수 있지만, 교차 배치나 한 손의 동시치기/단일 노트 구분 처리 배치가 매우 많고, 그 외에도 후렴의 극소 노트 2-1 교체 트릴이나 드롭 후렴의 미세한 엇박 4점 누르기, 아우트로의 한 손 트릴이 섞인 16분 배치 등, 전체를 통틀어 다양한 기술이 요구된다.",0,499
ドーナツホール 2024*7,Lv33,하위,속도 변화_ 보면 정지_ 물량_ 슬라이드 난이도_ 플릭 난이도_ 6k_ 개인차,"MASTER 보면과 마찬가지로 8분 음표까지만 있는 보면. 인접 동시치기가 매우 많고, 간주 이후에는 BoF 배치도 등장한다. 각 후렴 후반의 롱노트 배치는 4박마다 금색 롱노트를 바꿔 잡음으로써 잘 처리할 수 있다. 1절 후렴 초반의 5k 홀드나 라스트 후렴 초반의 6k 홀드도 주의가 필요하다.",-5,220
アンヘル,Lv33,적정,속도 변화_ 보면 정지_ 물량_ 플릭 난이도_ 극소 노트_ 트릴_ 난타_ 계단_ 쿠노지_ 6k,"양손 트릴로 시작하는 인트로 및 각 후렴의 4k가 주요 난관이며, 특히 인트로의 롱노트+3타째가 동시치기인 꺾이는 계단이나 라스트 후렴의 복수 패턴 양손 트릴 3타가 콤보 커터이다. B멜로디의 저속(느린 속도)이나 드롭 후렴의 6k, 아우트로의 5k도 긴장을 늦출 수 없다.",-4,562
キラー,Lv33,적정,물량_ 극소 노트_ 트릴_ 난타_ 계단,"BPM 196의 물량 보면. 연주 시간은 짧지만 휴식 지대가 적고, 콤보 커터가 되는 배치도 많다. 특히 후렴 전이나 인트로/B멜로디 직전/아우트로의 4k 등 지압 배치가 큰 난관이며, 운지법의 회피 경로도 적다. 종반에 2회 등장하는 한 손 16분 트릴+8분 탭은 어느 손으로 한 손 트릴을 하든 처리할 수 있으므로, 트릴을 하는 손을 미리 정해두는 것이 좋다.",-7,474
チルノのパーフェクトさんすう学園,Lv33,적정,속도 변화_ 물량_ 국소 난이도_ 트릴_ 계단_ 미세 종련_ 5k,"인트로의 바쁜 4k나 A멜로디 끝의 중앙 홀드에 깔린 4k를 넘기면 후렴 끝까지는 비교적 쉬운 편이지만, 아우트로의 자막 홀드 지대 이후는 크게 어려워진다. 라스트의 양손 트릴과 미세 종련이 연속된 4k는 처음 미세 종련 2타마다 양손 트릴로 처리하는 것도 하나의 수단이다.",-5,624
カゲロウデイズ,Lv33,상위,속도 변화_ 보면 정지_ 물량_ 슬라이드 난이도_ 플릭 난이도_ 트릴_ 난타_ 계단_ 6k,"BPM 200의 물량 보면. 1절 후렴 직전의 플릭은 극단적으로 짧은 크리티컬 홀드+종점 플릭으로 되어 있어, 일반 플릭보다 LATE나 MISS가 발생하기 쉬우므로 주의가 필요하다. A멜로디의 교차 배치, 1절 후렴의 한 손 3타 러시, 간주의 극소 노트→교차 롱노트, 라스트 후렴의 계단/비대칭 16분/한 손 트릴에 4분 간격 플릭이 엮인 배치가 주요 난관이다. 라스트에는 5k 홀드나 6k 홀드가 등장한다.",-6,171
トンデモワンダーズ,Lv33,상위,변박자_ 속도 변화_ 물량_ 국소 난이도_ 트릴_ 계단_ 쿠노지_ 5k_ 종점 판정,"한 손 트릴 실력이 요구되는 보면. 1절 후렴 끝의 한 손 트릴이나 간주의 극소 노트 계단, 간주 후의 나선형 계단이나 라스트 후렴 후반의 4k 배치 등, 높은 수준의 지압 기술과 체력이 필요하다.",3,127
のだ,Lv33,상위,속도 변화_ 보면 정지_ 물량_ 극소 노트_ 트릴_ 난타_ 계단_ 미세 종련_ 쿠노지_ 6k,"중속 BPM의 건반 주체로, 힘으로 밀어붙이기는 쉽지만 까다로운 배치가 많은 보면으로, 16분 난타나 32분 계단 사이에 끼인 BoF 배치, 6k 홀드가 있는 간주가 큰 난관이다. 라스트의 한 손 트릴과 동시치기를 교체하는 배치는 녹색 유사 탭 노트를 잘 보고 트릴 안쪽 손가락으로 처리하도록 의식하는 것이 좋다. 라스트 후렴 직전의 꺾이는 5k+플릭이나 라스트 후렴의 32분 계단에도 주의가 필요하다.",-3,558
Iなんです,33,최상위,하네 리듬_ 변박자_ 속도 변화_ 물량_ 국소 난이도_ 슬라이드 난이도_ 계단_ 5k_ 종점 판정,"1절 후렴구의 교차 배치는 후반 4마디의 롱 노트에 모두 종점 판정이 있으므로 주의가 필요하다. 후렴구 끝의 I자 형태의 골드 롱 노트는 시작점과 종점이 없으며(중간 판정은 있음), 바로 앞의 초록색 홀드를 그대로 4점 누르기로 유지하면 통과된다. 마지막 후렴구 이후 4회 등장하는 5k 배치와 마지막 홀드 포함 트릴이 큰 난관이며, 이곳을 안정적으로 처리할 수 있는지에 따라 체감 난이도가 크게 달라진다.",1,304
フュージョン,34,하위,속도 변화_ 악보 정지_ 물량_ 슬라이드 난이도_ 플릭 난이도_ 극소 노트_ 트릴_ 미세 종련_ 꺾쇠_ 개인차,"기본적으로 4k까지로 처리할 수 있는 악보이지만, 시작 부분이나 A멜로디 끝의 양손 트릴, 1절 후렴구 전의 동시 누르기가 교차되는 트릴, 대사 파트의 홀드 구속이 있는 계단이나 꺾쇠, 마지막 후렴구의 한 손 3타 러시 등 긴장을 늦출 수 없는 지력 배치가 매우 많아 바쁘다. 대사 파트 중간의 가속 속도 변화에도 주의가 필요하다.",0,555
プロトディスコ,34,하위,하네 리듬_ 속도 변화_ 물량_ 시인 난이도_ 플릭 난이도_ 극소 노트_ 미세 종련_ 5k,"BPM140의 24분 하네 리듬 악보로, 양손 모두 한 손으로 24분 하네를 치게 만드는 배치가 빈번하게 출현하므로, 정확도를 잡기 매우 어렵다. 마지막 후렴구 전 이후에 빈번하게 출현하는 탭 노트에 박힌 트레이스 플릭 노트가 큰 특징이며, 일반적인 플릭 노트와 같은 방식으로 트레이스 플릭과 동일한 수의 손가락으로 처리할 수 있지만, 탭보다 트레이스 플릭이 크기가 작고 판정이 좁으므로, 화살표 근처를 플릭할 필요가 있다.",2,561
ヒバナ -Reloaded-,34,적정,속도 변화_ 악보 정지_ 물량_ 슬라이드 난이도_ 플릭 난이도_ 트릴_ 5k_ 종점 판정,"MASTER 악보와 비슷한 악보 경향으로, 고속 물량 외에도 한 손 트릴이나 인접 동시 누르기가 많다. 후렴구 직전의 홀드 종점이나 전조 직전의 5k에도 주의가 필요하다.",-3,6
東京テディベア,34,상위,속도 변화_ 악보 정지_ 물량_ 플릭 난이도_ 트릴,"교차 배치와 3~5타의 한 손 트릴이 빈번하게 출현한다. 교차가 필요한 부분이나 눌러야 할 포인트를 구분해야 하는 곳, 어느 손으로 어디에서 한 손 트릴을 쳐야 하는지를 미리 의식해 두는 것이 좋다. 인트로와 아웃트로의 트레이스 포함 롱 노트는 직전 홀드와 같은 손으로 처리하면 롱 노트의 손 바꾸기를 회피할 수 있다. 몇 번 등장하는 바깥쪽 노트의 폭이 좁은 3점 누르기는 바깥쪽 노트를 보고 치는 것이 요령이다.",-4,396
Brand New Day,35,-,물량_ 플릭 난이도_ 트릴_ 계단_ 5k_ 종점 판정,"고정 4k 건반 배치가 중심인 물량 악보. 음표 처리도 단순하여 정확도를 잡기 쉽지만, 한 손 트릴이나 계단, 교차 배치 등이 끊임없이 내려온다. 제대로 된 휴식은 간주~마지막 후렴구 사이의 몇 초뿐이므로, 어설픈 체력으로는 떨어져 나갈 것이다.",-6,128
folern,35,-,속도 변화_ 물량_ 플릭 난이도_ 계단_ 6k_ 종점 판정,다점 누르기나 트레이스 노트를 구사한 CHUNITHM에서의 인용 및 AIR나 탭슬라의 재현 배치가 빈번하게 출현한다. 후렴구의 양손 트릴 4k나 라스트의 24분→32분 6k 계단 등 고난이도에 걸맞은 건반력도 요구된다.,-5,447
超最終鬼畜妹フランドール・Ｓ,35,-,속도 변화_ 물량_ 슬라이드 난이도_ 트릴_ 계단_ 종련_ 5k,"시종 BPM210의 고속 물량에 대한 내성이나 한 손 트릴 등의 고도의 지압 지력이 필요하다. 특히 후렴구 이후는 누름 구분 배치나 5k, 전조 후에 빈번하게 출현하는 교차 배치가 있으며, 이들에 대응하는 다양한 기술이 요구된다. 종반의 32분 계단이나 24분 계단이 혼재하는 골드 노트 배치는 모두 동시 누르기 16분 트릴로 간주하고 뭉개기(안미츠)를 사용하면 돌파가 가능하다.",-8,503
IMAWANOKIWA,35,-,속도 변화_ 물량_ 리듬난_ 트릴_ 계단_ 미세 종련_ 극소 노트_ 6k,,-3,584
Sage,36,-,장시간_ 플릭 난이도_ 리듬난_ 트릴_ 계단_ 종련_ 6k,"건반이나 교차 등의 기교 배치가 중심인 악보. 후렴구의 롱 노트 구속 배치는 2번째까지는 검지와 약지로 롱 노트를 누르고 중지로 탭을 처리하면 자연스럽게 처리할 수 있지만, 3번째부터는 교차가 필요해진다. 롱 노트를 누르는 손이 흰색, 교차하는 손이 노란색 노트를 처리한다는 것을 의식하면 인식하기 쉽다. 종반의 계단 배치가 최대의 난관이다.",-5,448
嬢王,36,-,속도 변화_ 악보 정지_ 물량_ 리듬난_ 트릴_ 계단_ 종련_ 5k,"전체를 통해 인접 동시 누르기가 많아 에임이 요구되는 악보로, 초반의 한 손 트릴이 요구되는 혼합 프레이즈나 감속 지대의 깔림 배치도 큰 특징이다. 라스트의 발광이 가장 어려운 부분이며, 동시 누르기는 기본적으로 완전 교대 처리로도 칠 수 있지만, 연타력에 자신이 있다면 한쪽으로 치우친 종련 부분을 한 손 3연타하여 에임을 줄이는 것도 하나의 방법이다. BPM200의 32분 교대가 가능하다면 마지막 9타는 트릴로 간주하고 두 손가락으로 칠 수도 있다.",-4,465
生命性シンドロウム,36,-,변박자_ 속도 변화_ 물량_ 시인 난이도_ 극소 노트_ 트릴_ 계단_ 6k,"기본 BPM225의 물량 악보. 여왕과 마찬가지로 인접 및 작은 동시 누르기가 많고, 말림이 발생하는 BPM에서 전체 누르기도 통하지 않기 때문에 에임과 누름 구분이 모두 요구된다. 1절 후렴구 후의 6k나 간주 후반의 3점 누르기 16분 등의 6k 내성도 필요하다. 라스트의 가속 지대는 고정 4k로 치면 오른손 3연타가 되지만, 운지법에 따라서는 한 손 2연타까지만으로 억제할 수도 있다.",-3,543
超ナイト・オブ・ナイツ,36,-,속도 변화_ 악보 정지_ 물량_ 플릭 난이도_ 극소 노트_ 트릴_ 계단_ 6k,"BPM193의 건반 주체 악보. 시작 부분의 한 손 트릴+플릭이나 그 후의 양손 트릴, 중반의 골드 노트 3k와 탭이 섞인 배치와 그 후의 중지 구속 24분, 라스트의 발광 등이 주된 난관이다. 기본적으로는 4k로 처리할 수 있는 배치가 많지만, 국소적으로 끼어드는 5~6k 배치의 수 자체가 상당히 많아, 약지가 필요한 부분을 암기해 둘 필요가 있다.",-5,622
SAN値直葬,36,-,장시간_ 속도 변화_ 악보 정지_ 시인 난이도_ 트릴_ 계단_ 6k,"BPM168의 건반 주체 악보로, 악보 경향의 교체가 심하다. 초반에는 5k, 6k의 건반 배치가 끝없이 내려오며 고속 건반이 섞여 나온다. 중반은 한 손 트릴 및 양손 트릴이 대량으로 내려온다. 후렴구는 16분 이상의 건반이 적지만, 전반은 중앙에 있는 3k 나선형 홀드의 좌우에 홀드가 내려오고, 후반은 4k, 6k 홀드에 모든 레인 탭이 섞이는 상당히 시인하기 어려운 배치가 되어 있으며, 곳곳에 32분 4k가 섞인다. 라스트의 미세 틀어짐 배치는 FC를 목표로 한다면 뭉개기로 통과할 수 있지만, AP를 목표로 하는 경우에는 사고를 일으키기 쉽다. 특별히 두드러진 난관은 없지만 전체적으로 어려운 경향을 보여, 약한 요소가 있다면 힘들어진다.",4,647
MarbleBlue.,37,-,장시간_ 속도 변화_ 물량_ 시인 난이도_ 극소 노트_ 트릴_ 계단_ 6k_ 종점 판정,"전체적으로 MASTER Lv36~Lv37의 난관을 모은 듯한 악보 구성으로, 본가 온게키에서의 인용이나 일부 CHUNITHM의 MASTER 악보에서의 인용도 볼 수 있다. 후렴구 시작의 트레이스+플릭 배치와 그 후의 6k, 휴식 지대 직전이나 종반의 발광이 큰 난관이다. 특히 2100 COMBO 전후의 1/12 노트 6k 지대는 시인 난이도까지 겹쳐 돌파가 매우 어려워지고 있다.",1,449
おぎゃりないざー,37,-,하네 리듬_ 속도 변화_ 악보 정지_ 물량_ 트릴_ 계단_ 꺾쇠_ 6k,"프로세카 악보 최고 수준의 고속 물량 악보. 후렴구 전의 중앙 트릴 양 끝에 골드 노트가 있는 배치나, 후렴구 후반의 8분 동시 누르기에 16분 트릴이 섞인 배치가 큰 난관이다. 라스트의 24분 배치를 직전의 16분 트릴 형태 그대로 뭉개기(안미츠)를 사용할 경우, 느린 타이밍을 의식하고 약간 하네 리듬(스윙) 느낌으로 치면 통과하기 쉬워진다.",-6,486
ダイジョブですか？,37,-,장시간_ 속도 변화_ 악보 정지_ 물량_ 시인 난이도_ 플릭 난이도_ 리듬난_ 트릴_ 계단_ 극소 노트_ 6k,"1절 후렴구 후의 한 손 3k 홀드 + 한 손 트릴 배치나 마지막 후렴구 전반 2100 COMBO 부근의 플릭과 탭의 복합 배치, 마지막 후렴구 후반의 5k나 24분 계단(뭉개기 가능)이 있는 발광 지대가 주된 최난관이다. 이외에도 1절 후렴구 전의 롱 노트에 깔린 시인 난이도 배치나 단일 탭과 동시 탭과 플릭의 혼합 배치, 속도 변화로 렉이 재현된 트릴 등, 프로세카의 사양에 익숙해지는 것이 필요한 배치도 많다.",5,487
メモリア,37,-,장시간_ 변박자_ 속도 변화_ 악보 정지_ 물량_ 리듬난_ 트릴_ 계단_ 극소 노트_ 5k,"건반 주체의 악보. 비교적 악보 경향이 비슷한 MarbleBlue.보다 빠른 한 손 트릴 배치나 32분 및 5k를 포함하는 계단 배치가 시종 내려오므로, 건반 배치가 특기라면 쉽게 느껴진다. 느려지는 후렴구의 속도 변화 연출에는 트레이스 노트가 포함되어 있어, 손가락을 계속 누르고 있어야 한다.",3,488
ネクラチューンサーカス,37,-,속도 변화_ 악보 정지_ 물량_ 시인 난이도_ 트레이스 난이도_ 트릴_ 계단_ 6k,"BPM254의 4k 주체 악보. 오갸리나이저보다는 물량이 다소 적지만, 이쪽은 기술적인 배치가 많아진 악보이다. 저속 전의 12분과 16분 복합 배치, 마지막 후렴구 전의 6k 배치, 라스트의 16분 4k→24분 6k 계단 등이 큰 난관이다.",-6,668
0.0000034,37,-,장시간_ 하네 리듬_ 변박자_ 속도 변화_ 악보 정지_ 물량_ 리듬난_ 극소 노트_ 트릴_ 계단_ 6k,"BPM239의 건반 주체 악보. 전체적으로 4, 5, 6k의 16분이나 12분 계단이 많으며, 마지막 후렴구 전의 변속 한 손 트릴 등 리듬 난이도의 요소도 있다. 한편 그 이상의 기술은 요구되지 않고, 플릭도 많지 않기 때문에, 건반 배치가 특기라면 쉽게 느껴질 것이다.",4,691
怪獣になりたい,38,-,속도 변화_ 악보 정지_ 물량_ 시인 난이도_ 인식난_ 리듬난_ 극소 노트_ 계단_ 종련_ 좌우 흔들기_ 6k,,2,671